locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2017-03-07	2017-03-07	10	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-08	2017-03-08	11	5	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-10	2017-03-10	10	7	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-03-09	2017-03-09	11	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-11	2017-03-11	13	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-12	2017-03-12	11	4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-03-13	2017-03-13	12	9	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-03-14	2017-03-14	12	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-03-15	2017-03-15	13	8	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2017-03-16	2017-03-16	12	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-17	2017-03-17	10	7	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-03-18	2017-03-18	11	8	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-03-19	2017-03-19	12	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-20	2017-03-20	8	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-03-21	2017-03-21	7	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-03-22	2017-03-22	5	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-03-23	2017-03-23	7	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-03-25	2017-03-25	16	2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-03-24	2017-03-24	12	2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-03-26	2017-03-26	11	2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-03-27	2017-03-27	12	4	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
